key,en,ar,az,bn,de,fr,id,it,ms,ru,tr,ur
alarm_default,Alarm Default,التنبيه الافتراضي,Siqnal varsayılan,অ্যালার্ম ডিফল্ট,Alarm Standard,Alarme par défaut,Standar Alarm,Allarme predefinito,Lalai Penggera,Сигнал по умолчанию,Varsayılan alarm,ڈیفالٹ الارم
alarm_set_for,Alarm set for {value} from now,تفعيل المنبه بعد {value} من الأن,Alarm set for {value} from now,Alarm set for {value} from now,Alarm für {value} ab jetzt eingestellt,Alarme dans {value} à partir de maintenant,Alarm disetel {value} dari sekarang,Allarme impostato per {value} da adesso,Penggera ditetapkan untuk {value} bermula sekarang,Сигнал установлен на {value} с этого момента,Şu andan itibaren {value} için alarm ayarlandı,الارم اب سے {value} کے لئے سیٹ ہو گیا
alarm_setting_reset_message,Reset the {value} reminder setting to default?,هل تريد إعادة تعيين تذكير {value} إلى الافتراضي؟,{value} xatırlatma ayarı defolt olaraq sıfırlansın?,পুনরায় {value} সংকেতটিকে ডিফল্টে নিয়ে যান?,Erinnerungseinstellung für {value} auf die Standardwerte zurücksetzen?,Remettre le rappel de {value} à sa valeur par défaut?,Kembalikan setelan pengingat {value} ke setelan awal?,Vuoi reimpostare le impostazioni del {value} a quelle predefinite?,Penetapan semula tetapan peringatan {value} ke lalai?,Сброс {value} напоминания к значениям по умолчанию?,{value} hatırlatıcı ayarları varsayılana sıfırlansın mı?,{value} کے وقت کو پر دوبارہ ڈیفالٹ کریں؟
alarm_setting_reset_sum,Reset to default,إعادة التعيين إلى الافتراضي,Varsayılan vəziyyətə gətir,পুনরায় ডিফল্টে চলে যান,Zurücksetzen auf Standard,Remettre aux valeurs par défaut,Kembalikan ke setelan awal,Reimposta predefiniti,Penetapan semula ke lalai,Сброс к значениям по умолчанию,Varsayılana geri dön,واپس ڈیفالٹ کریں
alarm_settings,Alarm Settings,إعدادات التنبيه,Alarm parametrləri,অ্যালার্ম সেটিংস,Alarm-Einstellungen,Paramètres d'Alarme,Setelan Alarm,Impostazioni allarme,Tetapan Penggera,Настройки Сигнала,Alarm ayarları,الارم سیٹنگ
alarm_volume,Alarm volume,مستوى صوت المنبه,Siqnalın səsi,অ্যালার্ম ভলিউম,Alarmlautstärke,Volume de l'alarme,Volume alarm,Volume allarme,Volum penggera,Громкость сигнала,Alarm sesi,الارم آواز مقدار
alignment,Alignment,المحاذاة,Hizalanma,Alignment,Ausrichtung,Alignement,Penyelarasan,Allineamento,Penjajaran,Выравнивание,Hizalama,سیدھ
allow,Allow,السماح,İcazə verin,অনুমতি দিন,Erlauben,Autoriser,Izinkan,Permetti,Benarkan,Разрешить,İzin ver,اجازت دیں
already_max_selected_event_dates,You have selected {value} days,لقد قمت بتحديد {value} أيام,{value} gün seçmisiniz,{value} দিন নির্ধারণ করা হল,Sie haben {value} Tage ausgewählt,Vous avez sélectionné {value} jours,Anda telah memilih {value} hari,Hai selezionato {value} giorni,Anda telah memilih {value} hari,Вы выбрали {value} дней,{value} günler seçtiniz,آپ نے منتخب کیے {value} دن
already_paid_info,Already upgrade to Pro version? Select restore,هل قمت بالفعل بالترقية إلى الإصدار الإحترافي؟ اختر استعادة,Artıq Pro versiyasına keçmisiniz? Geri yüklə-ni seçin,প্রো সংস্করণে ইতিমধ্যে আপগ্রেড হয়েছে? পুনরুদ্ধার নির্বাচন করুন,Sie haben bereits ein Upgrade auf die Pro-Version durchgeführt? Wiederherstellung auswählen,Vous avez déjà passé à la version Pro? Sélectionnez Restaurer,Sudah pernah tingkatkan aplikasi ke versi PRO? Pilih pulihkan,Hai già effettuato l'upgrade alla versione Pro? Seleziona ripristino,Sudah menaik taraf ke versi Pro? Pilih storan semula,Уже обновились до PRO версии? Выберите пункт Восстановить,Artık Pro sürümüne yükselttiniz mi? Geri yüklemeyi seçin,پہلے ہی پرو ورژن میں اپ گریڈ کر چکے ہیں؟ ری‌اسٹور کو منتخب کریں۔
am,AM,ص,GƏ,মধ্যাহ্ন,AM,AM,AM,AM,AM,AM,AM,صبح
androidx_startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup,androidx.startup
angle_based,Angle-Based Method (default),الطريقة القائمة على الزاوية (افتراضي),Bucaq əsaslı metod (standart),কোণ ভিত্তিক পদ্ধতি (ডিফল্ট),Winkelbasierte Methode (Standard),Méthode basée sur l'angle (par défaut),Berbasis Sudut (standar),Metodo basato sugli angoli (impostazione predefinita),Kaedah Dasar-Sudut (lalai),Угловой метод (по умолчанию),Açı Tabanlı Yöntem (varsayılan),زاویے پر مبنی طریقہ
app_icon,Application icon,أيقونة التطبيق,Tətbiq nişanı,এপ্লিকেশন আইকন,Symbol der Anwendung,Icône de l'application,Ikon aplikasi,Icone dell'applicazione,Ikon aplikasi,Значок приложения,Uygulama simgesi,ایپ آئکن
app_link,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android,hisab.page.link/android
app_not_installed,App isn't installed,التطبيق غير مثبت,Tətbiq quraşdırılmayıb,অ্যাপ ইন্সটল করা নেই,App ist nicht installiert,L'application n'est pas installée,Aplikasi tidak terpasang,L'app non è installata,Aplikasi tidak dipasang,Приложение не установлено,Uygulama indirilemedi,ایپ انسٹال شدہ نہیں ہے
app_settings,Application settings,إعدادات التطبيق,Tətbiq parametrləri,এপ্লিকেশন নির্ধারণ,Anwendungseinstellungen,Paramètres de l'application,Atur aplikasi,Impostazioni dell'applicazione,Tetapan aplikasi,Настройки приложения,Uygulama ayarları,ایپلیکیشن سیٹنگ
app_settings_sum,"Language, hours format, themes",اللغة، نظام الوقت، السمات,"Dil, saat formatı, mövzular","ভাষা, সময়ের ধরণ, থিম","Sprache, stundenformat, themen","Langue, format des heures, thèmes","Bahasa, format jam, tema","Lingua, formato orario, temi","Bahasa, format jam, tema","Язык, формат часов, темы","Dil, saat formatı, temalar",زبان، وقت نظام، تھیم
app_theme,App theme,مظهر التطبيق,Tema tətbiqi,অ্যাপ থিম,App-Theme,Thème de l'application,Tema aplikasi,Tema dell'app,Tema aplikasi,Тема приложения,Uygulama teması,ایپ تھیم
apply,Apply,تطبيق,Tətbiq et,কার্যকর,Anwenden,Appliquer,Terapkan,Applica,Terap,Применить,Uygula,لاگو کریں
apr,Apr,أبريل,Apr,এপ্রি,Apr,Avr,Apr,Apr,Apr,Апр,Nis,اپریل
april,April,أبريل,Aprel,এপ্রিল,April,Avril,April,Aprile,April,Апрель,Nisan,اپریل
arafah_fasting,Arafah Fasting,صيام عرفة,Ərəfə orucu,আরাফা'র রোজা,Arafah-Fasten,Jeûne de Arafah,Puasa Arafah,Digiuno di Arafah,Puasa Arafah,Пост в день Арафа,Arafa günü Orucu,عرفہ کا روزہ
ashura_fasting,Ashura Fasting,صوم عاشوراء,Aşura orucu,আশুরা'র রোজা,Aschura-Fasten,Jeûne de Ashura,Puasa Ashura,Digiuno di Ashura,Puasa Asyura,Пост в день Ашура,Aşura Orucu,عاشورہ کا روزہ
asr,Asr,العصر,Əsr,আসর,Asr,Asr,Asar,Asr,Asar,Аср,İkindi,عصر
asr_hanafi,Later Asr time (Hanafi),وقت العصر المتأخر (الحنفي),Hanafi,Hanafi,Spätere Asr-Zeit (Hanafi),Temps de Asr (Hanafi),Waktu Asar belakangan (Hanafi),Dopo l orario del Asr (Hanafi),Waktu Asar lewat (Hanafi),Позднее время Аср (Ханифа),Sonraki ikindi vakti (Hanefi),ثانی وقتِ عصر (حنفی)
asr_hanafi_sum,Begins when the shadow of an object twice its actual length plus its shadow during noon. About an hour late,يبدأ عندما يكون طول ظل الأشياء ضعف طولها الأصلي بالإضافة لطولها أثناء الظهيرة، حوالي ساعة تأخير,Begins when the shadow of an object twice its actual length plus its shadow during noon. About an hour late,Begins when the shadow of an object twice its actual length plus its shadow during noon. About an hour late,"Beginnt, wenn der Schatten eines Objekts das Doppelte seiner tatsächlichen Länge plus seinem Schatten während der Mittagszeit beträgt. Etwa eine Stunde später",Commence lorsque l'ombre d'un objet fait deux fois sa longueur réelle plus son ombre pendant midi. Environ une heure de retard,Dimulai saat bayangan suatu objek dua kali panjang sebenarnya ditambah bayangannya pada siang hari. Sekitar satu jam terlambat,Inizia quando l'ombra di un oggetto raddoppia la sua lunghezza effettiva più la sua ombra a mezzogiorno. Circa un'ora di ritardo,Bermula apabila bayangan suatu objek panjangnya sekali ganda dari panjang asal serta dicampur bayang-bayang di waktu tengah hari. Lebih kurang sejam lewat,"Начинается, когда тень объекта в два раза больше его фактической длины плюс его тень в полдень. Примерно на час позже","Bir nesnenin gölgesi, öğle vaktindeki gölgesi artı gerçek uzunluğunun iki katı olduğunda başlar. Yaklaşık bir saat geç",وقت شروع ہوتا ہے جب کسی چیز کا سایہ اس کی اصل لمبائی سے دوگنا اور جمع دوپہر کے وقت اس کا سایہ ہوتا ہے۔ تقریباً ایک گھنٹہ بعد
asr_standar,"Earlier Asr time (Syafii, Maliki, Hambali)",وقت العصر المبكر (الشافعية، المالكية، الحنابلة),"Syafii, Maliki, Hambali","Syafii, Maliki, Hambali","Frühere Asr-Zeit (Schafi'i, Maliki, Hanbali)","Temps de Asr (Shafii, Maliki, Hambali)","Waktu Asar awal (Syafii, Maliki, Hambali)","Prima del orario del Asr (Syafii, Maliki, Hambali)","Waktu Asar awal (Syafii, Maliki, Hambali)","Раннее время Аср (аш-Шафи'и, Малик, Ханбаль)","Erken ikindi vakti (Şafi, Maliki, Hambeli)",اول وقتِ عصر (شافعی، مالکی، حنبلی)
asr_standar_sum,Begins when the shadow of an object equals its actual length plus its shadow during noon,يبدأ عندما يكون ظل الكائن مساويًا لطوله الفعلي مضافًا إليه ظل أثناء الظهيرة,Bir obyektin kölgəsi günortadan sonra həqiqi uzunluğuna və kölgəsinə bərabər olduqda başlayır,শুরু হয় যখন কোনও বস্তুর ছায়া তার প্রকৃত দৈর্ঘ্যের সাথে দুপুরের সময় এর ছায়ার সমান হয়,"Beginnt, wenn der Schatten eines Objekts gleich seiner tatsächlichen Länge plus seinem Schatten während der Mittagszeit ist",Commence lorsque l'ombre d'un objet est égale à sa longueur réelle plus son ombre à midi,Dimulai saat bayangan suatu objek sama dengan panjang sebenarnya ditambah bayangannya pada siang hari,Inizia quando l'ombra di un oggetto è uguale alla sua lunghezza effettiva più la sua ombra a mezzogiorno,Bermula apabila bayang-bayang suatu objek menyamai panjangnya yang sebenar termasuk bayangnya di waktu tengah hari,"Начинается, когда тень объекта равна его фактической длине плюс его тень в полдень","Bir nesnenin gölgesi, gerçek uzunluğu artı öğle vaktindeki gölgesine eşit olduğunda başlar",وقت شروع ہوتا ہے جب کسی چیز کا سایہ اس کی اصل لمبائی کے برابر ہوتا ہے جمع دوپہر کے وقت اس کا سایہ
asr_today_at,Asr today at {value},العصر اليوم الساعة {value},Əsr bu gün {value},Asr today at {value},Asr heute bei {value},Asr aujourd'hui à {value},Asar hari ini pukul {value},Asr oggi alle {value},Asar hari ini pada {value},Аср сегодня в {value},Bugün ikindi vakti {value},آج عصر {value} پر
assign_tone,Assign tone,تعيين النغمة,Səsi təyin edin,টোন হিসেবে রাখুন,Ton zuordnen,Attribuer un son,Tentukan nada pengingat,Assegna tono,Gunakan nada,Назначить звук,Ton ata,ٹون اسائن کریں
assign_tone_sum,Assign tone for each prayer,تعيين نغمة لكل صلاة,Hər namaz üçün ton təyin edin,টোন হিসেবে রাখুন প্রত্যেক নামাজের জন্য,Für jedes Gebet einen Ton zuordnen,Attribuer un son à chaque prière,Tentukan nada untuk tiap waktu salat,Assegna il tono per ogni preghiera,Gunakan nada untuk setiap solat,Назначить звук для каждой молитвы,Her dua için ton atayın,سب نمازوں کے لىے ٹون اسائن کریں
audio_file_not_found,Audio file not found,لم يتم العثور على ملف الصوت,Səs faylı tapılmadı,অডিও ফাইল পাওয়া যায় নি,Audiodatei nicht gefunden,Fichier audio non trouvé,Tidak ditemukan file audio,File audio non trovato,Fail audio tidak ditemui,Аудио файл не найден,Ses dosyası bulunamadı,آڈیو فائل نہیں ملی
aug,Aug,أغس,Avq,আগ,Aug,Aoû,Agu,Ago,Ogo,Авг,Ağu,اگست
august,August,أغسطس,Avqust,আগস্ট,August,Août,Agustus,Agosto,Ogos,Август,Ağustos,اگست
auto_clear_notification,Auto Clear Notification,مسح تلقائي للإشعارات,Avto-silmək bildiriş,স্বয়ংক্রিয়ভাবে নোটিফিকেশন মুছুন,Benachrichtigung automatisch löschen,Suppression Automatique de la Notification,Otomatis Hilangkan Notifikasi,Notifica di cancellazione automatica,Auto Bersih Notifikasi,Автоматическая очистка уведомлений,Bildirimi otomatik temizle,نوٹیفیکیشن خودکار طریقے سے ہٹائیں
auto_detect,(Auto-detect),(كشف تلقائي),(Avto-aşkarlama),(স্বয়ং-সনাক্ত),(Automatische Erkennung),(Auto-détection),(Deteksi-otomatis),(Rilevamento automatico),(Auto-kesan),(Автоопределение),(Oto-bulma),(خودبخود معلوم کریں)
auto_do_not_disturb,Change to Do Not Disturb,التحويل إلى وضع عدم الإزعاج,Narahat Etməyin rejiminə keçin,ডু নট ডিস্টার্বে বদলি করুন,Auf Bitte nicht stören umschalten,Changer pour le mode Ne pas déranger,Otomatis aktifkan mode Jangan Ganggu,Passare a Non disturbare,Ubah kepada Jangan Ganggu,Изменить на режим Не беспокоить,Rahatsız Etmeyin olarak değiştirin,ڈسٹرب نہ‌کریں میں تبدیل کریں
auto_silence_mini,Silence,صامت,Səssiz,নীরবতা,Lautlosigkeit,Silencieux,Hening,Silenzioso,Senyap,Тишина,Sessiz Kal,خاموش کریں
auto_silent,Auto silent,صامت تلقائيًا,Avtomatik səssiz,অটো নিরব,Automatische Lautlosfunktion,Mode Silencieux automatique,Otomatis hening,Auto silenzioso,Auto senyap,Тишина (автоматически),Otomatik sessiz,خودکار سائلنٹ
auto_silent_duration_dialog_info,The device will be in silent mode for {value},سيقوم الجهاز بالتحويل إلى وضع الصامت لمدة {value},Cihaz {value} səssiz rejimdə olacaq,ডিভাইসটি {value} সময়ের জন্য নিঃশব্দ মোডে বদলে যাবে,Das Gerät wechselt in den Lautlosmodus für {value},L'appareil sera en mode Silencieux pour {value},Perangkat akan berada pada mode sunyi selama {value},Il dispositivo sarà in modalità silenziosa per {value},Peranti akan berada dalam mod senyap selama {value},Устройство будет находиться в режиме Тишина в течении {value},"Cihaz, {value} için sessiz modda olacak",موبائل {value} کے لیے خاموش موڈ میں رہے گا
auto_snooze,Auto snooze,غفوة تلقائية,Avtomatik mürgüləmə,Auto snooze,Automatische Schlummerfunktion,Répétition automatique,Otomatis tunda,Posticipa automaticamente,Tunda auto,Автоматическая отсрочка,Otomatik erteleme,خودبخود سنوز
auto_update,Auto update,تحديث تلقائي,Avtomatik yeniləmə,স্বয়ংক্রিয় আপডেট,Automatische Aktualisierung,Mise à jour automatique,Otomatis perbarui,Aggiornamento automatico,Auto kemaskini,Автообновление,Otomatik güncelleme,خودکار اپڈیٹ
auto_update_loc,Auto update the location,تحديث تلقائي للموقع,Avtomatik olaraq məkanı yeniləyin,অবস্থানটি অটো আপডেট করুন,Automatisches Aktualisieren des Standorts,Mise à jour automatique de la localisation,Otomatis perbarui lokasi,Aggiorna automaticamente la posizione,Kemaskini lokasi secara automatik,Автоматическое обновление местоположения,Konumu otomatik güncelle,خودکار لوکیشن اپڈیٹ
auto_update_loc_info,{value} before prayer time,{value} قبل وقت الصلاة,{value} namaz vaxtından əvvəl,{value} নামাজের আগে সময়,{value} vor der Gebetszeit,{value} avant le temps de prière,{value} sebelum waktu salat,{value} prima dell'ora della preghiera,{value} sebelum waktu solat,{value} до времени молитвы,Ezandan {value} önce,{value} نماز کے وقت سے پہلے
automatic,Automatic,تلقائي,Avtomatik,Automatic,Automatisch,Automatique,Otomatis,Automatico,Automatik,Автоматически,Otomatik,خودبخود
automatic_theme_sum,Light or Dark based on system,فاتح أو داكن حسب النظام,Sistem əsasında işıqlı və ya qaranlıq,Light or Dark based on system,Hell oder dunkel basierend auf dem System,Clair ou sombre selon les paramètres système,Terang atau Gelap mengikuti sistem,Chiaro o scuro in base al sistema,Terang atau Gelap berdasarkan sistem,Светлая или Темная в зависимости от настроек системы,Sisteme göre Açık veya Koyu,لائٹ یا ڈارک سسٹم پرمنحصر
avoid_fasting_on,Avoid fasting plans on {value},تجنب خطط الصيام على {value},{value}-də oruc planlarından çəkinin,{value} দিনে রোজা রাখা থেকে বিরত থাকুন,Fastenpläne am {value} vermeiden,Évitez les plans de jeûne pendant {value},Hindari rencana berpuasa pada tanggal {value},Evita di pianificare il digiuno durante {value},Elakkan merancang puasa pada {value},Избегайте поста в {value},{value} için aç kalma planlarından kaçının,{value} کو روزہ نہ رکھیں
ayyamul_Bidh,Ayyamul Bidh Fasting,صيام أيام البيض,Bəyaz günlər orucu,আইয়ামুল বিধ'এর রোজা,Ayyam al-Bidh-Fasten,Jeûne Ayyam Al-Bidh,Puasa Ayyamul Bidh,Digiuno di Ayyamul Bidh,Puasa Hari Putih,Пост в Белые Дни,Ayın 13.14.15. gün orucu,ایامِ بیض کا روزہ
back,Back,رجوع,Geri,পিছনে,Zurück,Retour,Kembali,Indietro,Kembali,Назад,Geri,واپس
background,Background,الخلفية,Arxa fon,পটভূমি,Hintergrund,Fond,Latar Belakang,Sfondo,Latar belakang,Фон,Arka plan,پس‌منظر
background_color,Background color,لون الخلفية,Arxafon rəngi,পটভূমি রং,Hintergrundfarbe,Couleur de fond,Warna latar,Colore sfondo,Warna latar belakang,Цвет фона,Arkaplan rengi,پس‌منظر رنگ
background_restrictions,Background process is not working?,هل تعطلت العمليات في الخلفية؟,Background process is not working?,Background process is not working?,Der Hintergrundprozess funktioniert nicht?,Le processus en arrière-plan ne fonctionne pas?,Proses latar belakang tidak bekerja?,Il processo in background non funziona?,Proses latar belakang tidak berfungsi?,Фоновый процесс не работает?,Arka plan işlemi çalışmıyor mu?,بیک‌گراؤنڈ پروسس کام نہیں کر رہا ہے؟
background_restrictions_sum_1,"Features like notifications, alarms, auto silent, Wear OS syncing, and widgets use scheduled background task to function. If you see issues with those features, we suggest you make the app not battery optimized to ensure it gets the freedom it needs to perform in the background. Please go to settings and set app battery usage to Unrestricted or Not optimized.",تستخدم ميزات مثل التنبيهات والإنذارات والصمت التلقائي ومزامنة Wear OS والودجت مهام خلفية مجدولة للعمل بشكل صحيح. إذا واجهت أي مشاكل مع تلك الميزات، فإننا نقترح عليك إلغاء تحسين استخدام البطارية للتطبيق لضمان حصوله على الحرية اللازمة للعمل في الخلفية. يرجى الذهاب إلى الإعدادات وتعيين استخدام البطارية للتطبيق إلى غير مقيد أو غير محسن.,"Features like notifications, alarms, auto silent, Wear OS syncing, and widgets use an auto-start background process to function. If you see issues with those features, we suggest you make the app not battery optimized to ensure it gets the freedom it needs to perform in the background. Please go to settings and set app battery usage to Unrestricted or Not optimized.","Features like notifications, alarms, auto silent, Wear OS syncing, and widgets use an auto-start background process to function. If you see issues with those features, we suggest you make the app not battery optimized to ensure it gets the freedom it needs to perform in the background. Please go to settings and set app battery usage to Unrestricted or Not optimized.","Funktionen wie Benachrichtigungen, Alarme, automatische Lautlosfunktion, Wear OS-Synchronisierung und Widgets verwenden geplante Hintergrundaufgaben, um zu funktionieren. Wenn Sie Probleme mit diesen Funktionen haben, empfehlen wir Ihnen, die App nicht auf Akkuoptimierung zu setzen, um sicherzustellen, dass die App die nötige Freiheit erhält, um im Hintergrund zu arbeiten. Bitte gehen Sie zu den Einstellungen und setzen Sie den Akkubedarf der App auf Uneingeschränkt oder Nicht optimiert.","Les fonctionnalités telles que les notifications, les alarmes, le silence automatique, la synchronisation Wear OS et les widgets utilisent des tâches en arrière-plan pour fonctionner. Si vous avez des problèmes avec ces fonctionnalités, nous vous suggérons de faire en sorte que l'application ne soit pas optimisée pour la batterie afin de s'assurer qu'elle puisse fonctionner en arrière-plan. Veuillez aller dans les paramètres et définir l'utilisation de la batterie sur Sans restriction ou Non optimisé.","Fitur seperti notifikasi, alarm, otomatis senyap, sinkronisasi Wear OS, dan widget menggunakan tugas latar belakang terjadwal untuk berfungsi. Jika Anda melihat masalah pada fitur-fitur tersebut, sebaiknya aplikasi tidak dioptimalkan penggunaan baterai untuk memastikan aplikasi mendapatkan kebebasan yang diperlukan untuk bekerja di latar belakang. Silakan buka setelan dan setel penggunaan baterai aplikasi ke Tidak Dibatasi atau Tidak dioptimalkan.","Funzionalità come notifiche, allarmi, silenziamento automatico, sincronizzazione di Wear OS e widget utilizzano le attività in background pianificate per funzionare. Se riscontri problemi con queste funzionalità, ti suggeriamo di rendere l'app non ottimizzata per la batteria per assicurarti la libertà di cui ha bisogno per funzionare in background. Vai alle impostazioni e imposta l'utilizzo della batteria dell'app su Senza restrizioni o Non ottimizzato.","Ciri seperti pemberitahuan, penggera, auto senyap, penyegerakan Wear OS dan widget menggunakan tugas latar belakang yang dijadualkan untuk berfungsi. Jika anda melihat masalah dengan ciri tersebut, kami cadangkan anda menjadikan apl itu tidak dioptimumkan bateri untuk memastikan ia mendapat kebebasan yang diperlukan untuk melaksanakannya di latar belakang. Sila pergi ke tetapan dan tetapkan penggunaan bateri apl kepada Tidak Terhad atau Tidak dioptimumkan.","Такие функции, как уведомления, сигналы, автоматическое отключение звука, синхронизация с Wear OS и виджеты, используют для работы запланированные фоновые задачи. Если вы наблюдаете проблемы с этими функциями, мы рекомендуем вам отключить оптимизацию работы батареи для этого приложения, чтобы обеспечить ему возможность работы в фоновом режиме. Перейдите в настройки использования батареи и установите значение Неограниченное или Не оптимизированное.","Bildirimler, alarmlar, otomatik sessize alma, Wear OS senkronizasyonu ve widget'lar gibi özellikler, çalışmak için planlanmış arka plan görevlerini kullanır. Bu özelliklerle ilgili sorunlar görürseniz, arka planda çalışması için ihtiyaç duyduğu özgürlüğü elde etmesini sağlamak için uygulamayı pil için optimize edilmemiş hale getirmenizi öneririz. Lütfen ayarlara gidin ve uygulama pil kullanımını Sınırsız veya Optimize edilmemiş olarak ayarlayın.",اطلاعات، الارم، آٹو سائلنٹ، وىئر او ایس، کی مطابقت پذیری، اور ویجیٹس جیسی خصوصیات کام کرنے کے لیے شیڈول کردہ بیک گراؤنڈ ٹاسک استعمال کرتی ہیں۔ اگر آپ کو ان خصوصیات کے ساتھ مسائل نظر آتے ہیں، تو ہم تجویز کرتے ہیں کہ آپ ایپ کو بیٹری کو بہتر نہ بنائیں تاکہ اس بات کو یقینی بنایا جا سکے کہ اسے پس منظر میں کارکردگی دکھانے کے لیے درکار آزادی حاصل ہو۔ براہ کرم سیٹنگز پر جائیں اور ایپ بیٹری کے استعمال کو غیر محدود یا بہتر نہیں پر سیٹ کریں۔
background_restrictions_sum_2,Some manufacturers may use non-standard background process limitations. Please tap the button below to see solutions that apply to various vendors.,قد يستخدم بعض المصنعون قيودًا غير قياسية على عمليات الخلفية. يرجى الضغط على الزر أدناه لرؤية الحلول المتاحة لمختلف البائعين.,Some manufacturers may use non-standard background process limitations. Please tap the button below to see solutions that apply to various vendors.,Some manufacturers may use non-standard background process limitations. Please tap the button below to see solutions that apply to various vendors.,"Einige Hersteller verwenden möglicherweise nicht standardkonforme Einschränkungen für Hintergrundprozesse. Bitte tippen Sie auf die Schaltfläche unten, um sich Lösungen anzusehen, die für die verschiedenen Hersteller gelten.",Certains fabricants peuvent utiliser des limitations de processus d'arrière-plan non standard. Veuillez appuyer sur le bouton ci-dessous pour voir les solutions qui s'appliquent à différents fournisseurs.,Beberapa produsen mungkin menggunakan batasan proses latar belakang non-standar. Silakan ketuk tombol di bawah untuk melihat solusi yang berlaku untuk berbagai vendor.,Alcuni produttori possono utilizzare limitazioni di processo in background non standard. Tocca il pulsante in basso per visualizzare le soluzioni applicabili a vari fornitori.,Sesetengah pengeluar mungkin menggunakan had proses latar belakang bukan standard. Sila sentuh butang di bawah untuk melihat penyelesaian yang digunakan untuk pelbagai vendor.,"Некоторые производители могут использовать нестандартные ограничения фонового процесса. Нажмите кнопку ниже, чтобы увидеть решения, применимые для различных поставщиков.",Bazı üreticiler standart olmayan arka plan işlem sınırlamaları kullanabilir. Çeşitli satıcılar için geçerli olan çözümleri görmek için lütfen aşağıdaki düğmeye dokunun.,کچھ مینوفیکچررز غیر معیاری بیک‌گراؤنڈ پروسس کی حدود استعمال کر سکتے ہیں۔ مختلف دکانداروں پر لاگو ہونے والے حل دیکھنے کے لیے براہ کرم نیچے والے بٹن کو ٹچ کریں
